"UserName","Description","DelayedAutoStart","BinaryPathName","StartupType","Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","StartType","ServiceHandle","Status","ServiceType"
"LocalSystem","ストア アプリケーションを展開するためのインフラストラクチャ サポートを提供します。このサービスはオンデマンドで開始されます。無効にすると、ストア アプリケーションはシステムに展開されなくなり、正しく動作しない可能性があります。","False","C:\WINDOWS\system32\svchost.exe -k wsappx -p","Manual","AppXSvc","System.ServiceProcess.ServiceController[]","False","False","False","AppX Deployment Service (AppXSVC)","System.ServiceProcess.ServiceController[]",".","AppXSvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess, Win32ShareProcess"
"NT AUTHORITY\NetworkService","Provides support for out-of-process session states for ASP.NET. If this service is stopped, out-of-process requests will not be processed. If this service is disabled, any services that explicitly depend on it will fail to start.","False","C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe","Manual","aspnet_state","System.ServiceProcess.ServiceController[]","False","False","False","ASP.NET State Service","System.ServiceProcess.ServiceController[]",".","aspnet_state","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess"
"LocalSystem","AssignedAccessManager ローカル サーバー","False","C:\WINDOWS\system32\svchost.exe -k AssignedAccessManagerSvc","Manual","AssignedAccessManagerSvc","System.ServiceProcess.ServiceController[]","False","False","False","AssignedAccessManager サービス","System.ServiceProcess.ServiceController[]",".","AssignedAccessManagerSvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"LocalSystem","Windows Audio サービスのオーディオ デバイスを管理します。このサービスが停止している場合、オーディオ デバイスと効果は適切に機能しません。このサービスが無効な場合、このサービスに明示的に依存しているすべてのサービスは開始できなくなります。","False","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Automatic","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio Endpoint Builder","System.ServiceProcess.ServiceController[]",".","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess"
"NT AUTHORITY\LocalService","Windows ベースのプログラムのオーディオを管理します。サービスが停止されると、オーディオ デバイスと効果は適切に機能しません。このサービスが無効にされると、これに明示的に依存するサービスは起動できなくなります","False","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Automatic","Audiosrv","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio","System.ServiceProcess.ServiceController[]",".","Audiosrv","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess"
"LocalSystem","インターネットからの ActiveX コントロールのインストールに対し、ユーザー アカウント制御により検証を行い、グループ ポリシー設定に基づいて ActiveX コントロールのインストールを管理します。このサービスはオンデマンドで開始され、無効になっている場合、ActiveX コントロールのインストールはブラウザーの既定の設定に従って行われます。","False","C:\WINDOWS\system32\svchost.exe -k AxInstSVGroup","Manual","AxInstSV","System.ServiceProcess.ServiceController[]","False","False","False","ActiveX Installer (AxInstSV)","System.ServiceProcess.ServiceController[]",".","AxInstSV","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"localSystem","BDESVC は、BitLocker ドライブ暗号化サービスをホストします。BitLocker ドライブ暗号化では、オペレーティング システムの安全なスタートアップ、および OS のボリューム、固定ボリューム、またはリムーバブル ボリュームの完全な暗号化を行うことができます。このサービスを使用すると、ボリュームのマウント時に BitLocker でボリュームに関連するさまざまなアクションのメッセージをユーザーに対して表示したり、ユーザーに確認せずにボリュームのロックを自動的に解除したりできます。また、回復情報が存在する場合は、Active Directory に保存します。さらに、必要に応じて、最新の回復証明書を使用します。サービスを停止または無効にすると、ユーザーはこの機能を利用できなくなります。","False","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manual","BDESVC","System.ServiceProcess.ServiceController[]","False","False","False","BitLocker Drive Encryption Service","System.ServiceProcess.ServiceController[]",".","BDESVC","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"NT AUTHORITY\LocalService","ベース フィルター エンジン (BFE) は、ファイアウォールとインターネット プロトコル セキュリティ (IPsec) ポリシーを管理し、ユーザー モード フィルターリングを実装するサービスです。BFE サービスを停止または無効にすると、システムのセキュリティが大幅に低下すると共に、IPsec 管理とファイアウォール アプリケーションの予測不能な動作の原因となります。","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p","Automatic","BFE","System.ServiceProcess.ServiceController[]","False","False","True","Base Filtering Engine",,".","BFE","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess"
"LocalSystem","Bing Desktop Update Service","False","""C:\Program Files (x86)\Microsoft\BingDesktop\BingDesktopUpdater.exe""","Automatic","BingDesktopUpdate","System.ServiceProcess.ServiceController[]","False","False","False","Bing Desktop Update service","System.ServiceProcess.ServiceController[]",".","BingDesktopUpdate","System.ServiceProcess.ServiceController[]","Automatic",,"Stopped","Win32OwnProcess"
"LocalSystem","アイドル状態のネットワーク帯域幅を使ってバックグラウンドでファイルを転送します。サービスを使用不可にすると、Windows Update や MSN Explorer など、BITS に依存しているアプリケーションはプログラムや情報を自動的にダウンロードできなくなります。","True","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manual","BITS","System.ServiceProcess.ServiceController[]","False","False","False","Background Intelligent Transfer Service","System.ServiceProcess.ServiceController[]",".","BITS","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"LocalSystem","ハードウェア デバイスおよびソフトウェア サービスが、ネットワーク上で自動構成を実行して、利用可能な状態であることを通知できるようにします。","False","""C:\Program Files\Bonjour\mDNSResponder.exe""","Automatic","Bonjour Service","System.ServiceProcess.ServiceController[]","False","True","True","Bonjour サービス","System.ServiceProcess.ServiceController[]",".","Bonjour Service","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess"
"LocalSystem","システム上で実行可能なバックグラウンド タスクを制御する Windows インフラストラクチャ サービス。","False","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Automatic","BrokerInfrastructure","System.ServiceProcess.ServiceController[]","False","False","False","Background Tasks Infrastructure Service",,".","BrokerInfrastructure","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess"
"LocalSystem","ネットワーク上のコンピューターの最新の一覧を管理し、その参照者として指定されたコンピューターに一覧を提供します。このサービスが停止している場合は、一覧は更新も維持もされません。このサービスが無効になっている場合は、このサービスに明示的に依存するサービスは何も開始できなくなります。","False","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manual","Browser","System.ServiceProcess.ServiceController[]","False","False","True","Computer Browser","System.ServiceProcess.ServiceController[]",".","Browser","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess"
"NT AUTHORITY\LocalService","コンピューターでワイヤレス Bluetooth ヘッドセットの実行を有効にします。このサービスが停止または無効になっている場合、Bluetooth ヘッドセットはこのコンピューターで正しく機能しません。","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation","Manual","BthHFSrv","System.ServiceProcess.ServiceController[]","False","True","True","Bluetooth Handsfree Service","System.ServiceProcess.ServiceController[]",".","BthHFSrv","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess"
"NT AUTHORITY\LocalService","Bluetooth サービスは、リモートの Bluetooth デバイスの検出と関連付けをサポートします。このサービスを停止または無効にすると、インストール済み Bluetooth デバイスが正常に動作しなくなり、新しいデバイスの検出や関連付けができなくなる可能性があります。","False","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","bthserv","System.ServiceProcess.ServiceController[]","False","True","True","Bluetooth サポート サービス","System.ServiceProcess.ServiceController[]",".","bthserv","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess"
"LocalSystem","アプリ機能への UWP アプリのアクセスを管理し、特定のアプリ機能へのアプリのアクセス権をチェックするサービスです","False","C:\WINDOWS\system32\svchost.exe -k appmodel -p","Manual","camsvc","System.ServiceProcess.ServiceController[]","False","False","False","機能アクセス マネージャー サービス","System.ServiceProcess.ServiceController[]",".","camsvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess, Win32ShareProcess"
"NT AUTHORITY\LocalService","このサービスは、Connected Devices Platform のシナリオに使用されます","True","C:\WINDOWS\system32\svchost.exe -k LocalService -p","AutomaticDelayedStart","CDPSvc","System.ServiceProcess.ServiceController[]","False","False","True","Connected Devices Platform Service","System.ServiceProcess.ServiceController[]",".","CDPSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess"
"","このユーザー サービスは、Connected Devices Platform のシナリオに使用されます","False","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","Automatic","CDPUserSvc_4791e","System.ServiceProcess.ServiceController[]","False","False","True","Connected Devices Platform User Service_4791e","System.ServiceProcess.ServiceController[]",".","CDPUserSvc_4791e","System.ServiceProcess.ServiceController[]","Automatic",,"Running","240"
"LocalSystem","ユーザー証明書とルート証明書をスマート カードから現在のユーザーの証明書ストアにコピーし、スマート カードがスマート カード リーダーに挿入されたときに検出します。また、必要に応じてスマート カード プラグ アンド プレイ ミニドライバーをインストールします。","False","C:\WINDOWS\system32\svchost.exe -k netsvcs","Manual","CertPropSvc","System.ServiceProcess.ServiceController[]","False","False","False","Certificate Propagation","System.ServiceProcess.ServiceController[]",".","CertPropSvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"LocalSystem","Microsoft ストアのためのインフラストラクチャ サポートを提供します。このサービスはオンデマンドで開始され、無効にすると、Windows Store を使用して購入したアプリケーションが正しく動作しなくなります。","False","C:\WINDOWS\System32\svchost.exe -k wsappx -p","Manual","ClipSVC","System.ServiceProcess.ServiceController[]","False","False","False","Client License Service (ClipSVC)","System.ServiceProcess.ServiceController[]",".","ClipSVC","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess, Win32ShareProcess"
"LocalSystem",,"False","""C:\Program Files\Docker\Docker\com.docker.service""","Automatic","com.docker.service","System.ServiceProcess.ServiceController[]","False","True","True","Docker for Windows Service","System.ServiceProcess.ServiceController[]",".","com.docker.service","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess"
"LocalSystem","コンポーネント オブジェクト モデル (COM)+ ベース コンポーネントの構成と追跡を管理します。サービスが停止すると、COM+ ベース コンポーネントは正しく機能しません。サービスが無効になると、このサービスに依存するサービスは開始できなくなります。","False","C:\WINDOWS\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","Manual","COMSysApp","System.ServiceProcess.ServiceController[]","False","False","False","COM+ System Application","System.ServiceProcess.ServiceController[]",".","COMSysApp","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess"
"NT AUTHORITY\LocalService","Manages communication between system components.","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p","Automatic","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","False","False","False","CoreMessaging","System.ServiceProcess.ServiceController[]",".","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess"
"NT Authority\NetworkService","提供される管理サービスは、次の 3 つです。カタログ データベース サービス: Windows ファイルの署名を確認し、新しいプログラムをインストールできるようにします。保護ルート サービス: 信頼されたルート証明機関の証明書をこのコンピューターに追加および削除します。ルート証明書自動更新サービス: Windows Update からルート証明書を取得し、SSL のようなシナリオを有効にします。このサービスが停止している場合は、これらの管理サービスは正常に機能しません。このサービスが無効の場合は、明示的にこれに依存しているサービスは開始できません。","False","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","Automatic","CryptSvc","System.ServiceProcess.ServiceController[]","False","True","True","Cryptographic Services","System.ServiceProcess.ServiceController[]",".","CryptSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess"
"LocalSystem","オフライン ファイル サービスは、オフライン ファイル キャッシュのメンテナンス活動の実行、ユーザーのログオンおよびログオフ イベントへの応答、パブリック API の内部の実装、およびオフライン ファイル活動やキャッシュ状態の変化に興味を持つユーザーに対する興味深いイベントのディスパッチを行います。","False","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","CscService","System.ServiceProcess.ServiceController[]","False","False","False","Offline Files","System.ServiceProcess.ServiceController[]",".","CscService","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"LocalSystem","DCOMLAUNCH サービスは、オブジェクト アクティブ化要求に応答して、COM および DCOM サーバーを起動します。このサービスが停止しているか無効になっている場合、COM または DCOM を使用するプログラムは正常に機能しません。DCOMLAUNCH サービスを実行しておくことを推奨します。","False","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Automatic","DcomLaunch","System.ServiceProcess.ServiceController[]","False","False","False","DCOM Server Process Launcher",,".","DcomLaunch","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess"
"LocalSystem","Provides helper APIs to enable device discovery and debugging over the network","False","C:\WINDOWS\System32\svchost.exe -k DevToolsGroup","Automatic","debugregsvc","System.ServiceProcess.ServiceController[]","False","False","False","debugregsvc","System.ServiceProcess.ServiceController[]",".","debugregsvc","System.ServiceProcess.ServiceController[]","Automatic",,"Stopped","Win32OwnProcess"
"localSystem","記憶域ドライブのファイルを最適化すると、コンピューターがより効率的に動作します。","False","C:\WINDOWS\system32\svchost.exe -k defragsvc","Manual","defragsvc","System.ServiceProcess.ServiceController[]","False","False","False","Optimize drives","System.ServiceProcess.ServiceController[]",".","defragsvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess"
"LocalSystem","Enables scenarios for remote UWP application deployment and debugging","False","C:\WINDOWS\System32\DeveloperToolsSvc.exe","Manual","DeveloperToolsService","System.ServiceProcess.ServiceController[]","False","False","False","Developer Tools Service","System.ServiceProcess.ServiceController[]",".","DeveloperToolsService","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess"
"LocalSystem","システムとワイヤード (有線) またはワイヤレス デバイスの間のペアリングを有効にします。","False","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Automatic","DeviceAssociationService","System.ServiceProcess.ServiceController[]","False","True","True","Device Association Service","System.ServiceProcess.ServiceController[]",".","DeviceAssociationService","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess"
"LocalSystem","ユーザーからの最小限の入力、または入力なしで、コンピューターがハードウェアの変更を認識し、対応します。","False","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Manual","DeviceInstall","System.ServiceProcess.ServiceController[]","False","False","False","Device Install Service","System.ServiceProcess.ServiceController[]",".","DeviceInstall","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"","デバイスの検出と接続","False","C:\WINDOWS\system32\svchost.exe -k DevicesFlow","Manual","DevicesFlowUserSvc_4791e","System.ServiceProcess.ServiceController[]","False","False","False","DevicesFlow_4791e","System.ServiceProcess.ServiceController[]",".","DevicesFlowUserSvc_4791e","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","224"
"LocalSystem","アプリによるバックグラウンド タスクを使用したデバイス検出を可能にします","False","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","DevQueryBroker","System.ServiceProcess.ServiceController[]","False","False","False","DevQuery Background Discovery Broker","System.ServiceProcess.ServiceController[]",".","DevQueryBroker","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"NT Authority\LocalService","このコンピューターの IP アドレスと DNS レコードを登録および更新します。このサービスが停止している場合、このコンピューターは動的 IP アドレスと DNS 更新情報を受信できなくなります。このサービスが無効になっている場合、このサービスに明示的に依存するサービスはすべて起動しなくなります。","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Automatic","Dhcp","System.ServiceProcess.ServiceController[]","False","True","True","DHCP Client","System.ServiceProcess.ServiceController[]",".","Dhcp","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess"
"LocalSystem","診断ハブ標準コレクター サービス。実行すると、このサービスはリアルタイムの ETW イベントを収集して処理します。","False","C:\WINDOWS\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe","Manual","diagnosticshub.standardcollector.service","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft (R) 診断ハブ標準コレクター サービス","System.ServiceProcess.ServiceController[]",".","diagnosticshub.standardcollector.service","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess"
"LocalSystem","Executes diagnostic actions for troubleshooting support","False","C:\WINDOWS\System32\svchost.exe -k diagnostics","Manual","diagsvc","System.ServiceProcess.ServiceController[]","False","False","False","Diagnostic Execution Service","System.ServiceProcess.ServiceController[]",".","diagsvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"LocalSystem","Connected User Experiences and Telemetry サービスを使用すると、アプリケーション内エクスペリエンスと接続ユーザーのエクスペリエンスをサポートする機能が有効になります。また、[フィードバックと診断] で診断と使用状況に関するプライバシー オプション設定が有効になっている場合、このサービスは、イベント ドリブン方式による診断情報および使用状況情報の収集と送信も管理します (これらの情報は、Windows プラットフォームのエクスペリエンスと品質を向上するために使用されます)。","False","C:\WINDOWS\System32\svchost.exe -k utcsvc -p","Automatic","DiagTrack","System.ServiceProcess.ServiceController[]","False","True","True","Connected User Experiences and Telemetry","System.ServiceProcess.ServiceController[]",".","DiagTrack","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess"
"LocalSystem","デバイス管理へのデバイス登録アクティビティを行います","False","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manual","DmEnrollmentSvc","System.ServiceProcess.ServiceController[]","False","False","False","デバイス管理登録サービス","System.ServiceProcess.ServiceController[]",".","DmEnrollmentSvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess"
"LocalSystem","WAP プッシュ メッセージ ルーティング サービス","True","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manual","dmwappushservice","System.ServiceProcess.ServiceController[]","False","False","False","dmwappushsvc","System.ServiceProcess.ServiceController[]",".","dmwappushservice","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"NT AUTHORITY\NetworkService","DNS クライアント サービス (dnscache) により、このコンピューターのドメイン ネーム システム (DNS) 名がキャッシュされ、フル コンピューター名が登録されます。サービスが停止されると、 DNS 名は引き続き解決されます。しかし、DNS 名のクエリの結果はキャッシュされず、コンピューター名は登録されません。サービスが使用不可にされた場合、このサービスに明示的に依存するサービスはすべて起動できなくなります。","False","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","Automatic","Dnscache","System.ServiceProcess.ServiceController[]","False","False","False","DNS Client","System.ServiceProcess.ServiceController[]",".","Dnscache","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess"
"NT Authority\NetworkService","コンテンツ配信の最適化タスクを実行します","True","C:\WINDOWS\System32\svchost.exe -k NetworkService -p","AutomaticDelayedStart","DoSvc","System.ServiceProcess.ServiceController[]","False","False","True","Delivery Optimization","System.ServiceProcess.ServiceController[]",".","DoSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess"
"localSystem","Wired AutoConfig (DOT3SVC) サービスは、イーサネット インターフェイスに対して IEEE 802.1X 認証を実行します。現在のワイヤード ネットワーク展開が 802.1X 認証を強制する場合、DOT3SVC サービスは、レイヤー 2 接続の確立とネットワーク リソースへのアクセスの提供を行うように構成されています。802.1X 認証を強制しないワイヤード ネットワークには、DOT3SVC サービスによる影響はありません。","False","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","dot3svc","System.ServiceProcess.ServiceController[]","False","False","False","Wired AutoConfig","System.ServiceProcess.ServiceController[]",".","dot3svc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"NT AUTHORITY\LocalService","診断ポリシー サービスを使用すると、Windows コンポーネントの問題を検出、トラブルシューティング、および解決できます。このサービスを停止すると、診断は実行されません。","False","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p","Automatic","DPS","System.ServiceProcess.ServiceController[]","False","True","True","Diagnostic Policy Service","System.ServiceProcess.ServiceController[]",".","DPS","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess"
"LocalSystem","デバイスに関連するソフトウェアの検出、ダウンロード、およびインストールを有効にします。このサービスが無効になっている場合、デバイスが古いソフトウェアで構成され、正常に動作しない可能性があります。","False","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manual","DsmSvc","System.ServiceProcess.ServiceController[]","False","False","False","Device Setup Manager","System.ServiceProcess.ServiceController[]",".","DsmSvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"LocalSystem","アプリケーション間でデータのやり取りを処理します。","False","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","DsSvc","System.ServiceProcess.ServiceController[]","False","False","True","Data Sharing Service","System.ServiceProcess.ServiceController[]",".","DsSvc","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess"
"NT Authority\LocalService","ネットワーク データ使用状況、データ通信量の上限、バックグラウンド データの制限、従量制課金ネットワーク。","False","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Automatic","DusmSvc","System.ServiceProcess.ServiceController[]","False","False","True","データ使用状況","System.ServiceProcess.ServiceController[]",".","DusmSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess"
"localSystem","拡張認証プロトコル (EAP) サービスは 802.1x ワイヤードおよびワイヤレス、VPN、ネットワーク アクセス保護 (NAP) のようなシナリオでネットワーク認証を提供します。EAP は、認証プロセス中にワイヤレスおよび VPN クライアントなどのネットワーク アクセス クライアントで使用されるアプリケーション プログラミング インターフェイス (API) も提供します。このサービスを無効にすると、このコンピューターは EAP 認証を必要とするネットワークにアクセスできません。","False","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manual","Eaphost","System.ServiceProcess.ServiceController[]","False","False","False","Extensible Authentication Protocol","System.ServiceProcess.ServiceController[]",".","Eaphost","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"LocalSystem","暗号化されたファイルを NTFS ファイル システム ボリュームに格納するために使用されるファイル暗号化のコア テクノロジを提供します。このサービスが停止されている場合や無効な場合は、アプリケーションから暗号化されたファイルにアクセスできません。","False","C:\WINDOWS\System32\lsass.exe","Manual","EFS","System.ServiceProcess.ServiceController[]","False","False","False","Encrypting File System (EFS)","System.ServiceProcess.ServiceController[]",".","EFS","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32ShareProcess"
